Timestamp (s)	Pitch Moment (Nm)	Belt Velocity (m/s)
0	-13.0637	1.5155
0.00998	-1.06324	1.5155
0.02	-1.76145	1.48272
0.030029	19.7138	1.48272
0.040029	-5.35185	1.51417
0.049987	10.1227	1.51417
0.060021	-1.70743	1.52171
0.06998	-8.09337	1.52171
0.07997	0.647237	1.48892
0.089982	-7.00924	1.48892
0.099963	-8.62836	1.4238
0.109979	-6.25981	1.4238
0.120051	-11.1816	1.34672
0.129989	-30.885	1.34672
0.139945	-0.675713	1.23508
0.150032	-0.167913	1.23461
0.160085	-14.7989	1.18591
0.169946	2.80851	1.18591
0.179981	-2.08332	1.19876
0.190007	2.49421	1.1988
0.199929	7.59782	1.22046
0.209997	7.07126	1.22046
0.219963	6.20315	1.27894
0.229891	-0.113875	1.27894
0.240017	14.8545	1.33653
0.25003	13.0069	1.33725
0.259917	9.18902	1.41671
0.269982	39.1308	1.41671
0.279997	40.2909	1.57708
0.289929	20.3865	1.57708
0.299962	30.6729	1.77067
0.309991	5.95615	1.77067
0.319996	0.24826	1.89383
0.32997	16.8002	1.89383
0.339967	10.9553	1.96825
0.349983	5.842	1.96825
0.360089	-4.35452	1.98331
0.369944	-1.79092	1.98331
0.380013	-37.1145	1.94211
0.389968	-25.9123	1.94211
0.400007	-15.4665	1.81984
0.410066	6.75584	1.81932
0.419981	0.642387	1.79326
0.429993	-4.00841	1.79326
0.440015	2.9533	1.80966
0.449949	-20.3175	1.80966
0.459969	3.95787	1.80788
0.469957	9.27485	1.80788
0.480055	10.2571	1.87035
0.49058	7.59491	1.87035
0.499968	9.41778	1.94743
0.509962	14.3293	1.94743
0.519916	-5.50547	2.02274
0.529988	7.2248	2.02274
0.539967	25.6955	2.06438
0.54995	18.0395	2.06438
0.55995	18.2999	2.20525
0.569984	13.7328	2.20525
0.580017	5.63382	2.30404
0.590585	4.39636	2.30404
0.599994	3.62993	2.30271
0.609923	-2.43866	2.30271
0.619955	-14.3576	2.24867
0.629989	-30.5605	2.24867
0.639973	-27.5617	2.09716
0.649927	-26.9661	2.09716
0.659911	-12.7129	1.91952
0.669948	-13.9002	1.91952
0.679968	-18.1471	1.79194
0.689963	-13.3701	1.79194
0.699946	7.54625	1.75605
0.70997	-14.3263	1.75605
0.719938	-1.30291	1.71751
0.729971	13.402	1.71751
0.739962	4.03318	1.76048
0.749936	13.6085	1.76048
0.759941	23.7343	1.8637
0.769942	10.7918	1.8637
0.779922	3.31363	1.943
0.789966	-1.90525	1.943
0.799969	-4.40345	1.99483
0.809922	5.83206	1.99483
0.819924	12.2808	2.07014
0.82997	20.492	2.07014
0.839963	9.91723	2.14634
0.849957	2.75962	2.14634
0.859964	15.9672	2.18576
0.869938	4.69139	2.18576
0.880013	-10.4129	2.22297
0.889933	13.877	2.22297
0.899926	-1.1179	2.23626
0.909935	-9.62201	2.23626
0.919933	0.9454	2.14634
0.929928	-18.5938	2.14634
0.939919	-23.5365	2.08166
0.949914	-22.2546	2.08166
0.95996	-18.9615	1.92882
0.969941	-15.4178	1.92882
0.979933	-21.2816	1.80301
0.989924	-15.8905	1.80301
0.999915	-5.01811	1.70644
1.0099	-3.49809	1.70644
1.01994	-7.24892	1.68296
1.02994	8.76124	1.68296
1.03994	-23.817	1.65062
1.04994	4.00177	1.65062
